Condition;Metric;Mean;Std;t_stat;p_value;Direction_vs_Baseline
People;Arousal_BL;-6.685956153;27.4542181;-1.651708336;0.10555631;Decrease
People;Valence_BL;0.730079471;0.72075392;6.870083874;1.59E-08;Increase
