Condition;Metric;Mean;Std;t_stat;p_value;Direction_vs_Baseline
Empty;Arousal_BL;0.093342034;1.314662697;0.431880683;0.668403893;Increase
Empty;Valence_BL;-0.218197396;0.420664164;-3.155112938;0.003234488;Decrease
